Alignment ID,Average Rt(min),Average Mz,Metabolite name,Adduct type,Post curation result,Fill %,MS/MS assigned,Reference RT,Reference m/z,Formula,Ontology,INCHIKEY,SMILES,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,Comment,Manually modified for quantification,Manually modified for annotation,Isotope tracking parent ID,Isotope tracking weight number,Total score,RT similarity,Dot product,Reverse dot product,Fragment presence %,S/N average,Spectrum reference file name,MS1 isotopic spectrum,MS/MS spectrum,DB_10ulrr_P1-B-1_01_25883,1_P1-B-3_01_25858,10_P1-C-3_01_25865,11_P1-C-4_01_25866,12_P1-C-5_01_25860,13_P1-C-6_01_25861,14_P1-C-7_01_25875,15_P1-C-8_01_25873,16_P1-C-9_01_25870,17_P1-D-1_01_25859,18_P1-D-2_01_25862,19_P1-D-3_01_25878,2_P1-B-4_01_25872,3_P1-B-5_01_25874,4_P1-B-6_01_25867,5_P1-B-7_01_25863,6_P1-B-8_01_25869,7_P1-B-9_01_25868,8_P1-C-1_01_25877,9_P1-C-2_01_25876,QC1_P1-B-2_01_25857,QC2_P1-B-2_01_25864,QC3_P1-B-2_01_25871,QC4_P1-B-2_01_25879,MB,RT,Prediction,Source Files
6,17.6,69.0697,w/o MS2:4-Penten-2-ol,[M+H]+,found in higher mz's MsMs_1498; found in higher mz's MsMs_1644; found in higher mz's MsMs_3421; found in higher mz's MsMs_1791; found in higher mz's MsMs_1358; found in higher mz's MsMs_2296; similar chromatogram in higher mz_86; similar chromatogram in higher mz_193; similar chromatogram in higher mz_762; similar chromatogram in higher mz_1001; similar chromatogram in higher mz_1027; similar chromatogram in higher mz_1099; similar chromatogram in higher mz_1118; similar chromatogram in higher mz_1201; similar chromatogram in higher mz_1286; similar chromatogram in higher mz_2090; similar chromatogram in higher mz_2119; similar chromatogram in higher mz_2589; found in higher mz's MsMs_4636; found in higher mz's MsMs_2254,0.25,False,,69.0699,C5H10O,,ZHZCYWWNFQUZOR-UHFFFAOYSA-N,,530,True,True,False,,False,False,,,100.0,,,,,16.83,1_P1-B-3_01_25858,69.06971:1328 70.07306:290 71.07642:452,,0,1328,850,402,896,944,803,806,1050,816,898,775,1028,592,1145,1098,872,819,914,618,1063,811,1037,928,GOOD,GOOD,0.0,
11,0.6,70.0649,Unknown,[M+H-H2O]+,found in higher mz's MsMs_540; similar chromatogram in higher mz_679; similar chromatogram in higher mz_769; similar chromatogram in higher mz_1008; similar chromatogram in higher mz_1009; similar chromatogram in higher mz_783; similar chromatogram in higher mz_632; found in higher mz's MsMs_512; similar chromatogram in higher mz_1390; similar chromatogram in higher mz_1408; similar chromatogram in higher mz_424; adduct linked to 505_[M+ACN+H]+; found in higher mz's MsMs_788; found in higher mz's MsMs_783; found in higher mz's MsMs_511; found in higher mz's MsMs_405; similar chromatogram in higher mz_1485; similar chromatogram in higher mz_1486,0.708,False,,,,,,,999,False,False,False,,False,False,,,,,,,,31.57,1_P1-B-3_01_25858,70.06535:1933 71.0687:0 72.07206:6908,,0,1933,1973,1877,546,1040,1466,817,1621,1144,922,661,2028,2990,455,1648,1296,652,1219,3537,1578,1470,1717,1373,GOOD,GOOD,0.0,
13,0.5,71.0291,Unknown,[M+H]+,,0.042,False,,,,,,,999,False,False,False,,False,False,,,,,,,,5.41,3_P1-B-5_01_25874,71.02911:1206 72.03246:520 73.03582:0,,172,392,682,522,136,384,664,420,520,560,196,313,600,1206,162,426,229,155,585,923,565,517,449,604,GOOD,GOOD,0.0,
15,18.8,71.0848,w/o MS2:3-Methyl-1-butanol,[M+H-H2O]+,found in higher mz's MsMs_1515; found in higher mz's MsMs_1664; found in higher mz's MsMs_1977; adduct linked to 331_[M+Na]+,0.042,False,,71.0855,C5H12O,,PHTQWCKDNZKARW-UHFFFAOYSA-N,,530,True,True,False,,False,False,,,99.7,,,,,27.03,4_P1-B-6_01_25867,71.08475:1797 72.0881:0 73.09146:0,,487,541,511,103,836,397,622,651,727,533,444,790,585,437,1797,596,304,440,841,592,778,899,728,709,GOOD,GOOD,0.0,
16,18.6,71.0855,w/o MS2:3-Methyl-1-butanol,[M+NH4]+,found in higher mz's MsMs_4480; found in higher mz's MsMs_1472; found in higher mz's MsMs_1360; found in higher mz's MsMs_1819; adduct linked to 173_[M+ACN+H]+; found in higher mz's MsMs_3218,0.042,False,,71.0855,C5H12O,,PHTQWCKDNZKARW-UHFFFAOYSA-N,,530,True,True,False,,False,False,,,100.0,,,,,9.97,4_P1-B-6_01_25867,71.08548:1655 72.08883:0 73.09219:0,,487,749,836,355,721,740,483,790,754,731,424,606,651,478,1655,730,409,220,988,751,833,651,1028,578,GOOD,GOOD,0.0,
17,17.2,71.0857,w/o MS2:3-Methyl-1-butanol,[M+H]+,ion correlated with 624; ion correlated with 3730,0.125,False,,71.0855,C5H12O,,PHTQWCKDNZKARW-UHFFFAOYSA-N,,530,True,True,False,,False,False,,,100.0,,,,,16.51,1_P1-B-3_01_25858,71.08569:1183 72.08904:0 73.0924:0,,0,1183,344,0,622,240,351,810,1065,598,812,413,775,434,2175,789,791,514,1049,254,999,860,801,789,GOOD,GOOD,0.0,
19,0.6,72.081,"w/o MS2:1,2-Diamino-2-methylpropane",[M+H]+,ion correlated with 673; ion correlated with 613; ion correlated with 706; similar chromatogram in higher mz_343; similar chromatogram in higher mz_1386; similar chromatogram in higher mz_613; similar chromatogram in higher mz_349; similar chromatogram in higher mz_1475; similar chromatogram in higher mz_1707; found in higher mz's MsMs_1434; similar chromatogram in higher mz_1952; similar chromatogram in higher mz_800; similar chromatogram in higher mz_1280,0.958,False,,72.0808,C4H12N2,,OPCJOXGBLDJWRM-UHFFFAOYSA-N,,530,True,True,False,,False,False,,,100.0,,,,,63.97,3_P1-B-5_01_25874,72.08101:14678 73.08436:1158 74.08772:340,,393,6069,4821,4788,1331,3075,4090,3312,3614,3494,1451,1062,6667,14678,1859,4043,1438,1663,4595,10055,4828,4666,4595,4267,GOOD,GOOD,0.0,
27,0.5,73.5323,Unknown,[M+H]+,similar chromatogram in higher mz_665; similar chromatogram in higher mz_1040,0.042,False,,,,,,,999,False,False,False,,False,False,,,,,,,,6.71,3_P1-B-5_01_25874,73.53226:1121 74.53561:0 75.53897:380,,338,552,648,385,157,769,552,448,429,356,76,308,568,1121,145,153,135,102,556,789,486,226,360,373,GOOD,GOOD,0.0,
28,0.6,74.0236,Unknown,[M+H]+,ion correlated with 1075; found in higher mz's MsMs_511; found in higher mz's MsMs_540; found in higher mz's MsMs_722; found in higher mz's MsMs_405,0.125,False,,,,,,,999,False,False,False,,False,False,,,,,,,,8.79,3_P1-B-5_01_25874,74.02364:2254 75.02699:0 76.03035:1928,,0,1062,221,188,0,110,215,80,339,416,0,0,1142,2254,0,151,0,0,0,902,583,402,489,430,GOOD,GOOD,0.0,
41,0.6,76.0399,w/o MS2:Glycine,[M+H]+,,0.083,False,,76.0394,C2H5NO2,Alpha amino acids,DHMQDGOQFOQNFH-UHFFFAOYSA-N,O=C(O)CN,530,True,True,False,,False,False,,,99.9,,,,,12.99,3_P1-B-5_01_25874,76.03986:1181 77.04321:0 78.04657:0,,0,620,192,511,0,275,292,0,333,320,0,0,693,1181,0,82,0,80,220,1132,470,241,415,383,GOOD,GOOD,0.0,
